Nome del piatto,Ingredienti,Costo,Categoria,Glutenfree,Surgelato,Vegetariano
House Charcuterie Board,"Km 0 cured meats and cheeses, homemade taralli, organic honey.",12,Antipasti,FALSE,FALSE,FALSE
Spicy Peanut Meatballs,"Fried zucchini meatballs with curry, paprika, and breadcrumb coating with toasted peanuts.",6,Antipasti,FALSE,FALSE,TRUE
Bresaola and Burrata Rolls,"Valtellina IGP beef bresaola, stuffed with Andria IGP burrata and chives.",8,Antipasti,TRUE,FALSE,FALSE
Seafood Spaghetti,"Gragnano IGP pasta with mussels, clams, shrimp, and squid.",14,Primi,FALSE,TRUE,FALSE
Vegetarian Lasagnetta with Almond Crumble,"Water and flour pasta sheet, vegetarian eggplant and San Marzano DOP tomato sauce, basil, and almond crumble.",9,Primi,FALSE,FALSE,TRUE
Fettuccine with Venison Ragu,Homemade egg pasta with venison ragu and Piave DOP cheese.,"12,5",Primi,FALSE,FALSE,FALSE
Mixed Meat Grill,"Km 0 meats (chicken, beef, lamb) grilled on a spit. Served with seasonal organic vegetables and homemade sauces.",20,Secondi,TRUE,FALSE,FALSE
Mixed Seafood Grill,"Daily caught fish, mollusks, and crustaceans grilled.",22,Secondi,TRUE,TRUE,FALSE
Stuffed Portobello Mushroom,Portobello mushroom grilled and stuffed with seasonal vegetables and homemade pesto. Served with mustard sauce.,10,Secondi,TRUE,FALSE,TRUE
Tiramisù in a Glass,"Homemade coffee Savoiardi, mascarpone cream, dusted with bitter cocoa and cinnamon powder.",7,Dessert,FALSE,FALSE,FALSE
Coconut Semifreddo,"Coconut mousse, passion fruit compote, and mint leaves.",7,Dessert,TRUE,FALSE,FALSE
